Hours_Worked_Per_Week,Employee_ID,Satisfaction_with_Remote_Work,Physical_Activity,Gender,Arbeitsplatz,Access_to_Mental_Health_Resources,Number_of_Virtual_Meetings,Company_Support_for_Remote_Work,Social_Isolation_Rating,old age,Industrie,be life story equipoise military rating,Productivity_Change,Sleep_Quality
50,EMP3786,Unsatisfied,None,Prefer not to say,Remote,No,6,4,4,47,Healthcare,1,No Change,Good
20,EMP3787,Satisfied,Daily,Male,Remote,Yes,1,4,2,39,Consulting,3,Increase,Poor
21,EMP3788,Neutral,None,Male,Onsite,No,7,1,1,23,Retail,3,Decrease,Poor
23,EMP3789,Satisfied,Weekly,Non-binary,Hybrid,No,7,4,1,24,Education,5,Decrease,Poor
26,EMP3790,Satisfied,Daily,Male,Onsite,No,3,5,1,51,Finance,1,No Change,Poor
49,EMP3791,Satisfied,Daily,Prefer not to say,Hybrid,No,13,3,3,36,Healthcare,5,Increase,Good
26,EMP3792,Neutral,Weekly,Non-binary,Remote,No,9,5,2,37,Retail,1,Increase,Average
31,EMP3793,Neutral,Weekly,Male,Hybrid,Yes,1,1,3,28,Retail,1,Increase,Average
40,EMP3794,Unsatisfied,Weekly,Female,Onsite,Yes,9,3,3,40,IT,3,Increase,Average
29,EMP3795,Unsatisfied,Daily,Prefer not to say,Hybrid,Yes,14,3,4,54,Manufacturing,1,Decrease,Good
30,EMP3796,Unsatisfied,Daily,Female,Onsite,No,6,2,3,41,IT,4,Increase,Good
56,EMP3797,Neutral,Weekly,Prefer not to say,Remote,No,13,1,1,46,Healthcare,4,Decrease,Average
28,EMP3798,Unsatisfied,Weekly,Non-binary,Remote,No,2,2,3,49,Healthcare,1,Decrease,Poor
31,EMP3799,Satisfied,None,Prefer not to say,Onsite,Yes,1,1,5,47,Consulting,2,Increase,Good
49,EMP3800,Unsatisfied,Weekly,Prefer not to say,Remote,No,4,2,4,49,Education,2,Increase,Average
24,EMP3801,Unsatisfied,Daily,Male,Onsite,Yes,7,5,3,59,Consulting,4,Decrease,Average
38,EMP3802,Unsatisfied,Daily,Non-binary,Onsite,Yes,2,3,4,37,Manufacturing,5,No Change,Poor
32,EMP3803,Unsatisfied,Weekly,Male,Remote,No,6,4,1,37,IT,3,Decrease,Poor
59,EMP3804,Neutral,None,Prefer not to say,Onsite,Yes,15,4,5,24,Healthcare,1,Decrease,Good
39,EMP3805,Unsatisfied,Daily,Non-binary,Hybrid,Yes,13,2,4,42,Manufacturing,2,Increase,Average
23,EMP3806,Satisfied,Daily,Non-binary,Remote,No,5,1,4,56,Healthcare,5,Decrease,Poor
31,EMP3807,Neutral,None,Female,Hybrid,No,11,5,2,33,Education,1,Decrease,Good
41,EMP3808,Neutral,Weekly,Male,Hybrid,Yes,9,3,4,22,IT,2,Increase,Good
37,EMP3809,Neutral,None,Male,Remote,No,2,2,2,32,Education,1,No Change,Average
37,EMP3810,Unsatisfied,Weekly,Non-binary,Remote,Yes,10,5,5,56,Healthcare,2,Decrease,Average
28,EMP3811,Satisfied,Weekly,Female,Onsite,Yes,7,1,3,36,Manufacturing,5,No Change,Poor
59,EMP3812,Neutral,Daily,Non-binary,Remote,Yes,15,5,4,45,IT,5,Increase,Average
57,EMP3813,Satisfied,Daily,Non-binary,Onsite,No,15,4,2,60,IT,2,Decrease,Good
53,EMP3814,Satisfied,None,Prefer not to say,Onsite,No,0,3,1,59,Finance,4,Decrease,Good
26,EMP3815,Satisfied,None,Male,Remote,No,0,2,4,39,Education,1,No Change,Poor
25,EMP3816,Unsatisfied,Daily,Female,Hybrid,Yes,15,2,1,58,Finance,2,Increase,Poor
21,EMP3817,Neutral,Weekly,Non-binary,Remote,No,7,3,4,42,Retail,4,No Change,Poor
59,EMP3818,Neutral,Weekly,Male,Remote,No,1,1,4,53,IT,2,No Change,Average
48,EMP3819,Unsatisfied,Daily,Female,Hybrid,Yes,2,1,5,41,Healthcare,4,Increase,Poor
38,EMP3820,Unsatisfied,Weekly,Prefer not to say,Onsite,No,6,5,5,59,Retail,3,Increase,Good
37,EMP3821,Unsatisfied,Daily,Male,Remote,Yes,9,1,5,28,Retail,5,Increase,Good
28,EMP3822,Unsatisfied,Weekly,Female,Onsite,No,13,3,5,37,Education,2,Decrease,Good
33,EMP3823,Unsatisfied,Daily,Female,Remote,Yes,8,2,3,27,Finance,4,No Change,Poor
51,EMP3824,Satisfied,None,Female,Onsite,No,15,2,1,49,Finance,5,Decrease,Poor
44,EMP3825,Satisfied,Weekly,Non-binary,Remote,No,6,2,2,26,Retail,3,Decrease,Average
42,EMP3826,Unsatisfied,None,Male,Onsite,No,9,1,4,31,Finance,2,Decrease,Poor
52,EMP3827,Neutral,None,Prefer not to say,Remote,Yes,2,2,1,39,Manufacturing,1,No Change,Good
24,EMP3828,Unsatisfied,Weekly,Female,Remote,No,2,1,1,34,Manufacturing,5,No Change,Good
40,EMP3829,Unsatisfied,None,Male,Onsite,Yes,15,3,1,42,Consulting,4,Decrease,Good
53,EMP3830,Neutral,Weekly,Non-binary,Remote,No,1,5,4,22,Manufacturing,4,Increase,Good
45,EMP3831,Unsatisfied,None,Prefer not to say,Onsite,No,1,2,4,25,IT,5,Increase,Poor
38,EMP3832,Unsatisfied,Daily,Prefer not to say,Remote,Yes,8,3,3,59,Education,4,Decrease,Good
24,EMP3833,Neutral,Weekly,Non-binary,Hybrid,No,12,4,1,46,Healthcare,4,Decrease,Average
31,EMP3834,Unsatisfied,None,Male,Onsite,No,14,5,2,51,Finance,3,No Change,Poor
59,EMP3835,Unsatisfied,Daily,Non-binary,Remote,No,6,5,2,60,Retail,4,Increase,Poor
58,EMP3836,Satisfied,Weekly,Non-binary,Onsite,Yes,15,3,5,47,Finance,4,Decrease,Good
28,EMP3837,Neutral,None,Female,Onsite,No,2,2,3,56,IT,3,No Change,Poor
33,EMP3838,Neutral,Daily,Non-binary,Hybrid,No,0,3,3,48,Consulting,2,No Change,Good
56,EMP3839,Satisfied,Daily,Prefer not to say,Remote,No,9,5,3,40,Healthcare,2,Increase,Good
32,EMP3840,Unsatisfied,Daily,Female,Hybrid,No,12,4,3,25,IT,2,Increase,Average
38,EMP3841,Neutral,Daily,Male,Onsite,No,10,5,4,34,Finance,1,Decrease,Poor
43,EMP3842,Unsatisfied,None,Prefer not to say,Onsite,No,15,3,3,59,Finance,2,Decrease,Poor
36,EMP3843,Unsatisfied,Weekly,Prefer not to say,Hybrid,No,5,1,3,54,Manufacturing,3,Increase,Average
57,EMP3844,Unsatisfied,Weekly,Female,Remote,No,1,5,1,44,Retail,5,Decrease,Poor
55,EMP3845,Unsatisfied,None,Female,Onsite,No,15,2,1,25,Retail,3,Decrease,Poor
37,EMP3846,Unsatisfied,None,Non-binary,Onsite,No,5,3,3,57,Healthcare,4,No Change,Average
22,EMP3847,Satisfied,Weekly,Female,Hybrid,No,15,2,4,44,Consulting,5,No Change,Good
40,EMP3848,Neutral,None,Female,Hybrid,No,1,1,5,29,Finance,5,Increase,Average
36,EMP3849,Neutral,Weekly,Prefer not to say,Hybrid,Yes,9,3,1,43,Consulting,5,Decrease,Poor
57,EMP3850,Neutral,None,Prefer not to say,Onsite,No,2,5,4,48,Healthcare,4,Increase,Good
52,EMP3851,Unsatisfied,Daily,Male,Remote,No,1,3,4,31,Retail,5,Increase,Poor
54,EMP3852,Unsatisfied,Daily,Non-binary,Onsite,No,10,3,5,49,Consulting,3,Decrease,Good
49,EMP3853,Unsatisfied,None,Non-binary,Remote,No,14,4,4,45,IT,5,Decrease,Average
30,EMP3854,Neutral,Daily,Prefer not to say,Remote,Yes,12,5,3,52,Education,5,Increase,Average
26,EMP3855,Neutral,Daily,Non-binary,Onsite,No,1,5,1,47,Education,5,Decrease,Good
38,EMP3856,Satisfied,Weekly,Non-binary,Hybrid,Yes,15,2,1,38,Retail,5,No Change,Poor
27,EMP3857,Neutral,None,Prefer not to say,Remote,Yes,12,4,3,36,IT,4,Decrease,Average
31,EMP3858,Satisfied,Weekly,Male,Onsite,Yes,8,3,2,56,Retail,5,Decrease,Average
33,EMP3859,Unsatisfied,None,Male,Onsite,Yes,11,5,2,42,IT,4,No Change,Good
48,EMP3860,Neutral,None,Female,Onsite,No,10,1,4,41,Education,4,Decrease,Average
20,EMP3861,Neutral,Weekly,Female,Onsite,No,13,4,1,33,Finance,2,Decrease,Poor
47,EMP3862,Satisfied,Weekly,Male,Remote,No,0,4,3,25,IT,3,Increase,Average
40,EMP3863,Satisfied,None,Non-binary,Onsite,No,6,1,4,36,IT,3,Decrease,Average
30,EMP3864,Unsatisfied,Daily,Prefer not to say,Remote,No,15,1,4,53,Finance,1,Decrease,Average
52,EMP3865,Satisfied,Weekly,Female,Hybrid,Yes,0,5,3,56,IT,4,Decrease,Good
48,EMP3866,Satisfied,None,Prefer not to say,Hybrid,No,5,1,1,51,IT,4,Decrease,Poor
41,EMP3867,Satisfied,None,Male,Remote,Yes,0,3,1,52,Finance,5,Increase,Good
54,EMP3868,Neutral,Weekly,Male,Onsite,No,7,2,5,30,Manufacturing,1,No Change,Average
41,EMP3869,Satisfied,Daily,Non-binary,Hybrid,No,5,2,3,28,IT,4,No Change,Poor
40,EMP3870,Satisfied,None,Male,Onsite,Yes,1,4,3,44,Manufacturing,1,Increase,Good
43,EMP3871,Neutral,Daily,Non-binary,Hybrid,No,9,4,5,45,IT,2,No Change,Good
55,EMP3872,Satisfied,Weekly,Non-binary,Remote,No,11,3,2,23,Healthcare,4,Increase,Good
46,EMP3873,Neutral,Daily,Female,Remote,No,5,4,2,44,Retail,1,Decrease,Good
36,EMP3874,Unsatisfied,Daily,Prefer not to say,Hybrid,Yes,14,3,3,51,Consulting,2,Increase,Good
54,EMP3875,Unsatisfied,Weekly,Female,Remote,No,5,2,5,26,Finance,4,No Change,Poor
34,EMP3876,Neutral,None,Non-binary,Remote,No,0,5,1,29,Education,4,No Change,Poor
41,EMP3877,Neutral,None,Male,Onsite,No,15,1,3,45,Education,5,Decrease,Poor
53,EMP3878,Satisfied,None,Non-binary,Onsite,Yes,12,3,4,49,Retail,2,Increase,Good
46,EMP3879,Unsatisfied,None,Male,Hybrid,No,9,3,5,50,Consulting,4,Decrease,Good
35,EMP3880,Satisfied,None,Non-binary,Remote,No,1,2,1,32,Manufacturing,4,Increase,Poor
44,EMP3881,Unsatisfied,Weekly,Female,Onsite,No,8,3,5,28,Healthcare,1,Decrease,Poor
20,EMP3882,Unsatisfied,None,Non-binary,Remote,No,6,4,1,22,Education,2,No Change,Average
37,EMP3883,Satisfied,Weekly,Prefer not to say,Remote,No,10,3,1,50,Consulting,5,Decrease,Poor
57,EMP3884,Unsatisfied,Daily,Male,Onsite,Yes,9,4,4,31,Finance,1,Decrease,Average
20,EMP3885,Neutral,Daily,Prefer not to say,Onsite,No,4,5,4,27,Finance,4,Increase,Average
54,EMP3886,Neutral,None,Female,Hybrid,No,6,5,4,25,Manufacturing,1,Decrease,Poor
53,EMP3887,Unsatisfied,Daily,Male,Remote,Yes,7,1,1,43,IT,3,No Change,Good
53,EMP3888,Satisfied,None,Male,Onsite,No,10,4,1,48,Healthcare,2,Decrease,Poor
25,EMP3889,Satisfied,None,Non-binary,Hybrid,No,13,1,5,24,Manufacturing,4,Increase,Good
28,EMP3890,Satisfied,Daily,Prefer not to say,Remote,No,7,2,5,30,Consulting,3,Decrease,Average
42,EMP3891,Neutral,None,Non-binary,Hybrid,No,7,3,3,50,Finance,3,No Change,Poor
44,EMP3892,Neutral,Weekly,Prefer not to say,Remote,No,11,5,2,42,Healthcare,5,Increase,Average
23,EMP3893,Satisfied,Daily,Non-binary,Remote,No,13,3,5,50,Manufacturing,1,Increase,Average
57,EMP3894,Neutral,Weekly,Prefer not to say,Hybrid,Yes,9,1,1,51,Retail,3,Increase,Poor
41,EMP3895,Satisfied,None,Female,Onsite,Yes,0,2,5,57,Education,1,Increase,Good
42,EMP3896,Unsatisfied,Weekly,Non-binary,Hybrid,No,12,5,5,29,Education,3,No Change,Average
56,EMP3897,Satisfied,None,Female,Remote,No,13,2,5,28,Manufacturing,2,No Change,Poor
23,EMP3898,Satisfied,None,Non-binary,Onsite,No,13,1,5,55,Healthcare,5,No Change,Poor
58,EMP3899,Neutral,Weekly,Non-binary,Hybrid,No,1,2,3,59,Education,5,Decrease,Poor
43,EMP3900,Satisfied,None,Non-binary,Hybrid,Yes,14,1,4,55,Consulting,1,Decrease,Poor
41,EMP3901,Unsatisfied,Weekly,Female,Onsite,No,11,4,2,57,IT,3,Increase,Average
33,EMP3902,Neutral,Daily,Non-binary,Remote,Yes,6,2,5,43,Finance,3,Decrease,Average
53,EMP3903,Neutral,Daily,Female,Onsite,Yes,13,4,2,25,Manufacturing,4,No Change,Poor
23,EMP3904,Neutral,Weekly,Non-binary,Hybrid,Yes,5,2,3,52,Consulting,4,Decrease,Good
21,EMP3905,Neutral,Weekly,Female,Onsite,No,15,3,4,49,Finance,5,No Change,Good
28,EMP3906,Unsatisfied,Daily,Female,Remote,Yes,3,2,5,38,IT,3,Increase,Poor
52,EMP3907,Neutral,Weekly,Non-binary,Hybrid,No,10,3,3,50,Healthcare,3,Decrease,Poor
38,EMP3908,Satisfied,None,Female,Remote,Yes,1,2,4,33,Consulting,5,Decrease,Poor
25,EMP3909,Unsatisfied,None,Prefer not to say,Hybrid,Yes,13,1,2,51,Manufacturing,4,Increase,Good
49,EMP3910,Unsatisfied,Weekly,Non-binary,Remote,Yes,13,2,3,51,Healthcare,5,Decrease,Good
37,EMP3911,Neutral,Daily,Non-binary,Remote,No,11,3,1,58,IT,5,Increase,Average
33,EMP3912,Unsatisfied,None,Male,Remote,No,13,2,1,34,Education,4,No Change,Poor
42,EMP3913,Satisfied,Weekly,Non-binary,Remote,No,9,2,3,53,Finance,1,Increase,Average
42,EMP3914,Satisfied,Weekly,Male,Onsite,No,0,1,3,59,Retail,4,No Change,Average
23,EMP3915,Unsatisfied,None,Male,Hybrid,Yes,4,3,3,22,Consulting,4,Increase,Poor
50,EMP3916,Neutral,None,Prefer not to say,Onsite,No,10,2,2,50,Healthcare,4,Decrease,Poor
37,EMP3917,Unsatisfied,Weekly,Prefer not to say,Remote,No,9,4,4,30,Consulting,4,No Change,Poor
59,EMP3918,Unsatisfied,Weekly,Female,Hybrid,No,9,2,3,32,Healthcare,4,No Change,Average
34,EMP3919,Unsatisfied,None,Prefer not to say,Hybrid,Yes,3,3,5,55,Finance,2,No Change,Poor
59,EMP3920,Satisfied,Daily,Non-binary,Onsite,No,11,4,1,52,Education,2,Decrease,Poor
50,EMP3921,Neutral,None,Non-binary,Onsite,No,4,4,3,45,IT,1,Increase,Average
34,EMP3922,Unsatisfied,Weekly,Female,Hybrid,No,6,3,3,32,Education,2,Increase,Poor
27,EMP3923,Neutral,Weekly,Female,Remote,Yes,5,1,1,44,Retail,3,Increase,Good
42,EMP3924,Neutral,Daily,Female,Onsite,No,3,3,2,39,Healthcare,4,Decrease,Average
50,EMP3925,Unsatisfied,None,Male,Hybrid,Yes,9,5,1,23,Healthcare,3,Increase,Poor
41,EMP3926,Unsatisfied,Daily,Non-binary,Onsite,No,12,4,4,42,IT,1,Increase,Average
29,EMP3927,Neutral,Weekly,Non-binary,Remote,No,5,5,2,44,Healthcare,3,No Change,Good
28,EMP3928,Unsatisfied,Daily,Female,Hybrid,No,1,2,4,23,Manufacturing,2,Decrease,Average
20,EMP3929,Satisfied,Daily,Prefer not to say,Onsite,Yes,7,3,3,34,Manufacturing,2,Decrease,Poor
51,EMP3930,Neutral,Weekly,Female,Onsite,Yes,7,3,1,28,Finance,1,No Change,Poor
22,EMP3931,Unsatisfied,Daily,Male,Hybrid,No,7,2,2,28,Manufacturing,5,No Change,Poor
54,EMP3932,Satisfied,None,Male,Remote,Yes,7,2,1,23,Healthcare,5,No Change,Poor
43,EMP3933,Unsatisfied,Daily,Male,Onsite,Yes,1,1,4,57,Retail,1,Decrease,Average
23,EMP3934,Neutral,Daily,Prefer not to say,Remote,No,15,2,3,27,Healthcare,2,Decrease,Average
41,EMP3935,Neutral,Daily,Female,Remote,Yes,15,4,4,35,Consulting,4,No Change,Poor
57,EMP3936,Neutral,None,Female,Onsite,No,6,5,2,40,Consulting,3,Increase,Good
25,EMP3937,Satisfied,Weekly,Non-binary,Hybrid,No,8,3,2,37,IT,1,Decrease,Good
35,EMP3938,Satisfied,None,Non-binary,Remote,Yes,13,2,2,59,Retail,4,Decrease,Poor
44,EMP3939,Neutral,Daily,Female,Onsite,No,13,4,5,33,Consulting,3,Increase,Poor
23,EMP3940,Unsatisfied,Weekly,Female,Hybrid,No,10,2,4,27,IT,3,No Change,Average
32,EMP3941,Neutral,None,Non-binary,Remote,No,8,2,1,42,Education,3,Increase,Average
20,EMP3942,Neutral,Weekly,Non-binary,Remote,No,15,3,2,50,Healthcare,5,Increase,Average
54,EMP3943,Neutral,None,Male,Onsite,Yes,9,1,4,45,Healthcare,4,No Change,Good
44,EMP3944,Satisfied,None,Prefer not to say,Hybrid,No,11,3,5,45,Healthcare,1,No Change,Good
41,EMP3945,Neutral,None,Male,Remote,No,8,3,3,53,Healthcare,1,Increase,Poor
59,EMP3946,Satisfied,Daily,Female,Hybrid,Yes,1,2,5,49,Education,2,No Change,Good
37,EMP3947,Neutral,Daily,Male,Remote,No,1,4,3,30,IT,3,Decrease,Average
29,EMP3948,Satisfied,None,Female,Onsite,No,2,5,5,56,Manufacturing,3,No Change,Poor
38,EMP3949,Satisfied,None,Non-binary,Remote,No,8,3,1,57,Healthcare,1,Decrease,Good
38,EMP3950,Unsatisfied,None,Male,Onsite,No,14,3,2,56,Finance,1,Decrease,Poor
21,EMP3951,Neutral,Weekly,Prefer not to say,Hybrid,No,2,1,2,49,Finance,2,Increase,Average
34,EMP3952,Unsatisfied,Weekly,Male,Hybrid,Yes,12,2,4,27,IT,1,Increase,Good
48,EMP3953,Neutral,Weekly,Female,Hybrid,Yes,8,1,1,40,IT,5,Increase,Poor
46,EMP3954,Neutral,Daily,Non-binary,Hybrid,No,6,3,2,53,Retail,1,Increase,Poor
32,EMP3955,Unsatisfied,Daily,Female,Hybrid,No,14,4,4,49,Healthcare,4,Decrease,Poor
54,EMP3956,Satisfied,Weekly,Non-binary,Hybrid,No,1,2,4,59,Education,2,Increase,Poor
37,EMP3957,Neutral,Daily,Male,Onsite,Yes,10,5,2,35,Retail,2,Increase,Good
29,EMP3958,Unsatisfied,None,Non-binary,Remote,No,10,2,3,54,Manufacturing,3,No Change,Poor
23,EMP3959,Neutral,Weekly,Female,Hybrid,Yes,13,1,2,24,Consulting,3,Decrease,Average
28,EMP3960,Satisfied,None,Male,Remote,No,12,2,5,47,Finance,1,Increase,Poor
30,EMP3961,Neutral,Daily,Prefer not to say,Remote,Yes,5,2,5,34,Finance,3,Decrease,Good
29,EMP3962,Neutral,Daily,Male,Onsite,No,8,2,2,36,Manufacturing,2,No Change,Poor
54,EMP3963,Unsatisfied,Daily,Male,Remote,No,4,1,1,60,Retail,4,Increase,Average
36,EMP3964,Neutral,Daily,Male,Hybrid,Yes,12,3,2,26,Consulting,1,No Change,Good
36,EMP3965,Unsatisfied,None,Female,Onsite,No,4,2,1,54,IT,2,Decrease,Poor
46,EMP3966,Satisfied,Daily,Prefer not to say,Remote,No,8,2,1,41,Retail,4,Decrease,Average
30,EMP3967,Satisfied,Daily,Female,Hybrid,Yes,1,1,5,58,Manufacturing,5,Decrease,Average
46,EMP3968,Satisfied,Daily,Prefer not to say,Remote,Yes,0,4,2,34,Retail,3,Decrease,Poor
20,EMP3969,Unsatisfied,Daily,Female,Remote,No,11,3,5,57,IT,4,Decrease,Average
45,EMP3970,Satisfied,Weekly,Non-binary,Hybrid,No,12,3,3,58,Finance,3,No Change,Poor
37,EMP3971,Satisfied,None,Male,Hybrid,No,0,4,2,27,Consulting,1,No Change,Poor
36,EMP3972,Unsatisfied,None,Female,Remote,No,12,2,4,56,Finance,5,Decrease,Good
60,EMP3973,Satisfied,None,Non-binary,Remote,No,15,4,4,27,Finance,2,Decrease,Good
27,EMP3974,Satisfied,Weekly,Female,Hybrid,Yes,13,5,2,31,Finance,1,Decrease,Average
47,EMP3975,Satisfied,None,Female,Remote,Yes,1,2,4,60,Manufacturing,3,No Change,Average
46,EMP3976,Neutral,Weekly,Non-binary,Remote,No,15,3,2,27,Healthcare,2,Increase,Poor
58,EMP3977,Unsatisfied,Daily,Non-binary,Hybrid,No,12,3,5,42,Education,1,No Change,Good
33,EMP3978,Unsatisfied,Daily,Non-binary,Hybrid,Yes,8,3,5,22,Retail,3,Decrease,Good
27,EMP3979,Satisfied,None,Male,Onsite,Yes,2,1,4,47,IT,4,Increase,Poor
56,EMP3980,Satisfied,Weekly,Male,Onsite,Yes,10,1,4,50,Consulting,1,No Change,Average
32,EMP3981,Unsatisfied,Daily,Male,Onsite,Yes,15,1,4,43,Manufacturing,4,Decrease,Good
31,EMP3982,Unsatisfied,Weekly,Female,Hybrid,Yes,13,2,5,37,Manufacturing,2,Increase,Good
47,EMP3983,Satisfied,Daily,Non-binary,Onsite,No,10,2,5,43,Education,2,Decrease,Poor
35,EMP3984,Satisfied,Weekly,Prefer not to say,Hybrid,Yes,8,2,3,43,Finance,1,No Change,Good
52,EMP3985,Unsatisfied,Daily,Prefer not to say,Hybrid,Yes,3,2,4,45,Healthcare,1,No Change,Good
57,EMP3986,Satisfied,Daily,Male,Hybrid,Yes,3,2,2,44,IT,5,Decrease,Average
57,EMP3987,Neutral,Daily,Female,Onsite,No,8,2,4,34,Retail,3,No Change,Average
38,EMP3988,Unsatisfied,Weekly,Male,Onsite,No,14,4,4,29,Manufacturing,1,Decrease,Good
22,EMP3989,Satisfied,Daily,Female,Remote,No,10,5,1,54,Consulting,2,Decrease,Average
50,EMP3990,Satisfied,None,Prefer not to say,Hybrid,No,15,2,4,36,IT,3,No Change,Good
28,EMP3991,Neutral,Weekly,Prefer not to say,Remote,Yes,2,3,3,46,Retail,4,Decrease,Average
22,EMP3992,Unsatisfied,None,Male,Onsite,No,8,1,4,31,Healthcare,4,No Change,Poor
24,EMP3993,Neutral,None,Non-binary,Remote,Yes,2,3,1,46,Healthcare,1,No Change,Average
32,EMP3994,Satisfied,Daily,Prefer not to say,Hybrid,No,13,3,2,38,Education,3,Decrease,Good
41,EMP3995,Unsatisfied,None,Male,Remote,Yes,8,3,5,25,IT,1,Decrease,Poor
21,EMP3996,Neutral,None,Male,Hybrid,No,8,5,4,50,Finance,4,Decrease,Poor
53,EMP3997,Satisfied,Weekly,Prefer not to say,Onsite,No,9,1,2,58,Finance,3,Increase,Average
60,EMP3998,Satisfied,Daily,Prefer not to say,Hybrid,Yes,0,5,4,47,Education,4,Increase,Good
56,EMP3999,Unsatisfied,Weekly,Prefer not to say,Onsite,Yes,11,4,3,27,Finance,1,No Change,Good
34,EMP4000,Unsatisfied,Daily,Non-binary,Onsite,No,4,1,4,24,Consulting,5,Decrease,Average
26,EMP4001,Neutral,Daily,Non-binary,Onsite,No,11,2,2,38,Retail,1,Increase,Good
29,EMP4002,Neutral,Daily,Female,Remote,No,0,1,5,38,Manufacturing,4,No Change,Poor
36,EMP4003,Unsatisfied,Weekly,Female,Hybrid,Yes,15,5,5,22,Finance,1,Decrease,Poor
25,EMP4004,Unsatisfied,None,Female,Onsite,Yes,11,1,4,40,Consulting,1,Increase,Good
31,EMP4005,Satisfied,Daily,Prefer not to say,Hybrid,No,1,1,1,39,Healthcare,2,Increase,Average
38,EMP4006,Satisfied,Weekly,Prefer not to say,Onsite,No,2,3,5,43,Healthcare,2,Increase,Average
41,EMP4007,Neutral,Daily,Male,Remote,Yes,13,4,2,44,Finance,4,Decrease,Good
34,EMP4008,Satisfied,Daily,Prefer not to say,Onsite,No,13,5,3,47,IT,4,No Change,Average
29,EMP4009,Neutral,Weekly,Non-binary,Hybrid,Yes,5,3,5,35,Finance,4,Increase,Good
45,EMP4010,Unsatisfied,Weekly,Prefer not to say,Remote,Yes,1,4,5,23,Healthcare,1,Decrease,Average
60,EMP4011,Neutral,Daily,Prefer not to say,Onsite,Yes,10,5,5,27,Healthcare,2,Decrease,Good
48,EMP4012,Unsatisfied,None,Prefer not to say,Onsite,Yes,11,4,5,47,Education,3,Increase,Average
23,EMP4013,Satisfied,Weekly,Female,Hybrid,No,4,5,5,39,Healthcare,1,Increase,Average
60,EMP4014,Neutral,Daily,Non-binary,Onsite,Yes,15,1,3,39,Education,2,No Change,Poor
37,EMP4015,Satisfied,Weekly,Female,Hybrid,Yes,5,5,4,59,Consulting,1,Increase,Poor
34,EMP4016,Unsatisfied,Daily,Male,Hybrid,Yes,4,2,1,52,IT,5,Increase,Good
54,EMP4017,Neutral,None,Female,Remote,No,9,3,5,29,Education,1,Decrease,Good
29,EMP4018,Neutral,Daily,Male,Remote,No,15,5,1,51,Education,4,Decrease,Poor
36,EMP4019,Satisfied,Daily,Male,Remote,No,1,3,1,23,Consulting,5,No Change,Good
54,EMP4020,Satisfied,None,Non-binary,Onsite,No,9,1,4,24,Education,4,Decrease,Average
55,EMP4021,Unsatisfied,None,Prefer not to say,Hybrid,Yes,14,2,2,41,Healthcare,5,Decrease,Poor
56,EMP4022,Neutral,None,Prefer not to say,Onsite,No,4,4,4,52,Retail,3,Decrease,Average
48,EMP4023,Satisfied,Weekly,Non-binary,Onsite,Yes,2,4,1,52,Healthcare,1,No Change,Average
52,EMP4024,Satisfied,Weekly,Prefer not to say,Onsite,Yes,4,5,2,37,Finance,2,No Change,Poor
49,EMP4025,Satisfied,None,Non-binary,Hybrid,Yes,9,2,3,57,Retail,3,No Change,Poor
26,EMP4026,Neutral,None,Non-binary,Remote,Yes,14,2,3,51,Healthcare,4,Increase,Average
21,EMP4027,Unsatisfied,Weekly,Prefer not to say,Remote,Yes,15,4,3,45,Retail,4,Increase,Good
20,EMP4028,Satisfied,Daily,Prefer not to say,Onsite,Yes,10,3,5,53,Retail,5,Increase,Good
27,EMP4029,Unsatisfied,Daily,Male,Onsite,No,3,4,3,26,IT,3,No Change,Average
54,EMP4030,Neutral,Weekly,Prefer not to say,Hybrid,Yes,1,2,1,52,Education,4,Increase,Poor
23,EMP4031,Unsatisfied,Daily,Non-binary,Hybrid,No,9,3,1,39,Healthcare,5,Increase,Poor
53,EMP4032,Neutral,Daily,Female,Remote,No,9,2,1,47,Manufacturing,3,Increase,Average
57,EMP4033,Neutral,Weekly,Prefer not to say,Hybrid,Yes,1,1,4,32,Healthcare,1,Decrease,Poor
41,EMP4034,Satisfied,Weekly,Male,Onsite,Yes,2,3,3,29,Healthcare,5,No Change,Good
20,EMP4035,Neutral,Daily,Male,Remote,No,12,5,4,40,Retail,1,Increase,Poor
35,EMP4036,Unsatisfied,Weekly,Male,Onsite,No,3,2,5,44,Finance,2,No Change,Average
57,EMP4037,Satisfied,None,Female,Hybrid,Yes,8,1,1,53,Finance,2,Decrease,Good
50,EMP4038,Unsatisfied,Daily,Male,Onsite,Yes,10,2,3,23,Consulting,4,No Change,Good
24,EMP4039,Unsatisfied,Weekly,Non-binary,Remote,Yes,13,1,1,36,Manufacturing,4,Increase,Good
25,EMP4040,Neutral,None,Male,Remote,No,14,5,4,39,Retail,5,Increase,Poor
35,EMP4041,Neutral,Daily,Male,Hybrid,No,0,3,2,59,IT,5,No Change,Good
37,EMP4042,Satisfied,Daily,Male,Onsite,Yes,1,3,5,37,Healthcare,2,Increase,Average
51,EMP4043,Neutral,Weekly,Non-binary,Onsite,Yes,1,5,2,30,IT,3,Decrease,Average
47,EMP4044,Unsatisfied,Daily,Male,Hybrid,Yes,10,2,5,24,Consulting,2,No Change,Good
28,EMP4045,Neutral,None,Prefer not to say,Remote,Yes,10,5,3,47,Finance,3,No Change,Poor
