Job_Role,Industry,Ag,Mental_Health_Condition,Stress_Level,Years_of_Experience,Work_Location,Region,Employee_ID,Number_of_Virtual_Meetings,R_Satisfaction_with_Remote_Work,Work_Life_Balance_Rating,Hours_Worked_Per_Week,Productivity_Change
Project Manager,Retail,45,Depression,Low,7,Remote,Africa,EMP4342,15,Unsatisfied,4,21,Decrease
Designer,Education,56,None,Medium,17,Remote,Asia,EMP4343,11,Unsatisfied,4,53,Decrease
Sales,IT,30,None,High,2,Onsite,Africa,EMP4344,0,Neutral,1,41,Increase
Sales,Finance,34,Anxiety,Medium,12,Remote,Africa,EMP4345,0,Unsatisfied,1,41,Increase
HR,Manufacturing,57,Depression,Medium,21,Onsite,Oceania,EMP4346,15,Satisfied,1,42,Decrease
Project Manager,Education,32,None,Low,1,Onsite,Oceania,EMP4347,14,Unsatisfied,2,23,Decrease
Sales,Manufacturing,46,None,Medium,20,Remote,South America,EMP4348,8,Neutral,5,41,Decrease
Data Scientist,Healthcare,40,Depression,High,9,Remote,Oceania,EMP4349,0,Neutral,2,52,Decrease
Data Scientist,Retail,60,Burnout,High,11,Onsite,South America,EMP4350,9,Neutral,5,26,Increase
Sales,Manufacturing,37,None,Low,18,Remote,Asia,EMP4351,5,Unsatisfied,2,20,No Change
Marketing,IT,54,Burnout,Low,12,Onsite,Asia,EMP4352,0,Unsatisfied,5,21,No Change
Designer,Manufacturing,38,None,Medium,29,Onsite,Asia,EMP4353,5,Satisfied,1,24,No Change
Designer,Healthcare,50,Burnout,High,33,Remote,Asia,EMP4354,4,Unsatisfied,3,58,Increase
Project Manager,Finance,46,Depression,Medium,15,Hybrid,North America,EMP4355,12,Satisfied,4,29,Decrease
Software Engineer,Education,26,Anxiety,Medium,14,Onsite,North America,EMP4356,0,Unsatisfied,3,55,Increase
Data Scientist,Healthcare,52,Anxiety,Medium,30,Remote,Oceania,EMP4357,7,Neutral,3,32,No Change
Project Manager,Finance,51,None,Low,28,Remote,Europe,EMP4358,3,Neutral,4,29,Decrease
Sales,Healthcare,30,Depression,Low,27,Remote,South America,EMP4359,4,Neutral,2,58,No Change
Software Engineer,Consulting,38,Depression,High,19,Onsite,Asia,EMP4360,10,Satisfied,3,23,Increase
Project Manager,Education,24,Anxiety,High,30,Onsite,Asia,EMP4361,2,Unsatisfied,4,20,Increase
Marketing,Retail,43,None,High,26,Hybrid,South America,EMP4362,11,Neutral,1,50,Increase
Designer,Education,56,Anxiety,High,28,Onsite,Europe,EMP4363,7,Satisfied,4,29,No Change
Sales,Retail,36,Burnout,High,16,Onsite,Africa,EMP4364,1,Unsatisfied,1,60,Increase
Software Engineer,Manufacturing,26,Depression,Medium,21,Hybrid,North America,EMP4365,3,Unsatisfied,3,41,Increase
Marketing,IT,26,Burnout,Low,3,Hybrid,South America,EMP4366,13,Unsatisfied,1,28,Increase
Sales,IT,37,Depression,Low,3,Remote,Africa,EMP4367,0,Neutral,3,53,No Change
Software Engineer,IT,59,Anxiety,High,3,Remote,Africa,EMP4368,13,Neutral,2,56,Increase
Marketing,Manufacturing,58,None,Medium,25,Remote,Oceania,EMP4369,1,Unsatisfied,3,55,Increase
Project Manager,Manufacturing,36,None,High,34,Onsite,Africa,EMP4370,5,Satisfied,4,33,Increase
Designer,Healthcare,59,Burnout,Low,16,Hybrid,Asia,EMP4371,7,Neutral,3,47,Decrease
Designer,Education,56,Anxiety,Low,11,Onsite,North America,EMP4372,1,Neutral,2,33,Decrease
Marketing,Manufacturing,23,Anxiety,High,34,Hybrid,South America,EMP4373,3,Satisfied,2,44,No Change
HR,IT,24,Burnout,Medium,4,Remote,Asia,EMP4374,13,Unsatisfied,1,56,Decrease
Designer,Finance,28,Anxiety,Low,7,Remote,Oceania,EMP4375,6,Unsatisfied,3,59,No Change
Data Scientist,Retail,31,Depression,Low,27,Remote,North America,EMP4376,2,Satisfied,1,39,Increase
Project Manager,Finance,38,None,Low,25,Onsite,Europe,EMP4377,6,Unsatisfied,1,37,Decrease
Software Engineer,IT,56,None,Low,30,Remote,South America,EMP4378,3,Satisfied,5,60,Decrease
HR,Consulting,47,Burnout,High,21,Remote,North America,EMP4379,6,Neutral,5,51,Decrease
Marketing,Healthcare,47,Burnout,Low,19,Onsite,Europe,EMP4380,11,Neutral,5,26,Increase
Marketing,Healthcare,43,Depression,Medium,19,Remote,Africa,EMP4381,2,Neutral,3,46,Increase
HR,Finance,27,Depression,High,33,Remote,North America,EMP4382,10,Unsatisfied,4,33,Decrease
Project Manager,Retail,25,Burnout,Low,26,Onsite,Asia,EMP4383,8,Neutral,5,23,No Change
Project Manager,Retail,35,Depression,Medium,3,Remote,North America,EMP4384,6,Unsatisfied,3,21,Decrease
Software Engineer,Finance,50,Anxiety,Low,22,Onsite,Europe,EMP4385,1,Neutral,3,39,Increase
Data Scientist,Education,30,Burnout,Low,12,Remote,Asia,EMP4386,11,Satisfied,3,26,Increase
Marketing,Consulting,32,None,Medium,4,Remote,Asia,EMP4387,3,Unsatisfied,5,58,No Change
Project Manager,Finance,54,None,High,1,Hybrid,Europe,EMP4388,11,Neutral,4,48,No Change
Data Scientist,Manufacturing,23,None,High,26,Onsite,Europe,EMP4389,6,Neutral,3,33,Increase
HR,Healthcare,29,None,Medium,35,Onsite,North America,EMP4390,12,Neutral,4,25,Decrease
Sales,Manufacturing,41,Depression,Medium,2,Onsite,North America,EMP4391,13,Unsatisfied,3,48,Increase
HR,Retail,39,Burnout,High,18,Hybrid,North America,EMP4392,3,Neutral,1,53,Increase
Project Manager,Education,22,Burnout,High,22,Onsite,Europe,EMP4393,3,Unsatisfied,5,60,No Change
Software Engineer,Finance,48,Anxiety,Medium,30,Remote,North America,EMP4394,8,Unsatisfied,4,50,Decrease
Data Scientist,Healthcare,52,Anxiety,High,23,Hybrid,Europe,EMP4395,11,Neutral,5,21,Increase
HR,IT,28,Anxiety,Medium,29,Remote,North America,EMP4396,9,Satisfied,4,43,No Change
Sales,Finance,36,None,Medium,1,Remote,Africa,EMP4397,8,Neutral,3,31,Decrease
HR,IT,29,Burnout,High,33,Onsite,North America,EMP4398,5,Satisfied,4,58,No Change
Designer,IT,26,Anxiety,High,32,Hybrid,Oceania,EMP4399,8,Unsatisfied,5,21,No Change
Software Engineer,Finance,27,Depression,High,31,Onsite,South America,EMP4400,7,Unsatisfied,1,60,Decrease
Designer,Healthcare,31,Burnout,Low,14,Onsite,North America,EMP4401,15,Satisfied,4,30,Decrease
Project Manager,Education,47,None,High,19,Remote,Europe,EMP4402,4,Satisfied,4,30,Decrease
HR,Finance,45,Burnout,High,28,Remote,Asia,EMP4403,12,Neutral,1,49,Decrease
Project Manager,Consulting,50,None,Low,29,Hybrid,South America,EMP4404,12,Neutral,4,33,No Change
Data Scientist,IT,46,Burnout,High,5,Remote,Europe,EMP4405,5,Unsatisfied,3,56,No Change
Project Manager,Education,24,Depression,Medium,15,Remote,Africa,EMP4406,14,Satisfied,3,46,Increase
Designer,Finance,24,Depression,High,13,Remote,Asia,EMP4407,6,Satisfied,4,28,Decrease
Designer,Retail,53,None,Low,9,Onsite,Europe,EMP4408,7,Unsatisfied,3,25,Decrease
Project Manager,Education,45,None,Medium,26,Remote,Africa,EMP4409,11,Neutral,4,57,No Change
Project Manager,Healthcare,37,None,High,27,Onsite,Asia,EMP4410,2,Neutral,1,52,Decrease
Software Engineer,Finance,29,Depression,Medium,26,Remote,Africa,EMP4411,15,Neutral,5,34,Decrease
HR,Consulting,38,Burnout,High,6,Onsite,Oceania,EMP4412,9,Satisfied,4,56,Decrease
Project Manager,Finance,60,Depression,Medium,3,Remote,North America,EMP4413,11,Unsatisfied,4,25,No Change
Designer,Education,47,Depression,High,29,Onsite,South America,EMP4414,1,Unsatisfied,3,43,No Change
Data Scientist,Healthcare,40,Burnout,High,10,Hybrid,North America,EMP4415,4,Satisfied,5,30,Increase
Project Manager,Finance,48,Anxiety,High,26,Onsite,Oceania,EMP4416,4,Satisfied,5,40,Decrease
Software Engineer,Retail,44,Depression,Low,20,Onsite,Europe,EMP4417,10,Satisfied,5,20,No Change
Software Engineer,IT,37,Depression,High,13,Onsite,Asia,EMP4418,15,Neutral,5,50,Increase
Software Engineer,Education,37,Anxiety,High,25,Hybrid,Oceania,EMP4419,2,Unsatisfied,3,57,Increase
Designer,Healthcare,50,Burnout,Low,4,Remote,North America,EMP4420,10,Neutral,4,48,No Change
Software Engineer,Healthcare,57,None,Medium,35,Remote,Europe,EMP4421,10,Satisfied,2,28,No Change
Data Scientist,Healthcare,42,Burnout,Medium,11,Remote,Africa,EMP4422,12,Neutral,2,29,Decrease
Sales,Manufacturing,24,Anxiety,Low,1,Hybrid,Asia,EMP4423,2,Neutral,5,47,Decrease
Marketing,Retail,25,Anxiety,High,21,Hybrid,South America,EMP4424,5,Satisfied,5,45,No Change
Software Engineer,IT,39,Depression,High,26,Hybrid,Asia,EMP4425,9,Neutral,2,26,No Change
Software Engineer,Manufacturing,40,Anxiety,Low,2,Remote,Europe,EMP4426,4,Satisfied,2,30,No Change
Marketing,Consulting,29,Burnout,High,29,Hybrid,North America,EMP4427,7,Unsatisfied,2,51,No Change
Data Scientist,Manufacturing,56,Anxiety,Medium,6,Onsite,Asia,EMP4428,8,Satisfied,3,43,Decrease
Marketing,Finance,29,Anxiety,High,11,Onsite,North America,EMP4429,4,Neutral,1,28,Increase
Project Manager,Finance,23,None,High,31,Hybrid,South America,EMP4430,7,Unsatisfied,1,51,No Change
Designer,Healthcare,49,None,High,33,Remote,South America,EMP4431,11,Unsatisfied,4,44,Increase
Project Manager,Manufacturing,55,None,High,10,Hybrid,North America,EMP4432,0,Satisfied,1,27,Decrease
Sales,Healthcare,38,None,High,26,Hybrid,Asia,EMP4433,12,Satisfied,1,56,No Change
Data Scientist,Manufacturing,40,Depression,Low,31,Remote,Oceania,EMP4434,4,Satisfied,4,56,No Change
Marketing,Finance,34,Depression,High,23,Onsite,North America,EMP4435,6,Satisfied,3,40,No Change
Software Engineer,IT,52,Burnout,Low,30,Remote,North America,EMP4436,6,Satisfied,5,22,Increase
Marketing,IT,31,Burnout,High,21,Onsite,South America,EMP4437,14,Neutral,1,22,Decrease
Sales,IT,54,Burnout,High,22,Onsite,Europe,EMP4438,8,Satisfied,2,60,Increase
Software Engineer,Healthcare,47,None,Medium,24,Remote,Africa,EMP4439,1,Satisfied,1,45,No Change
Project Manager,Manufacturing,39,Depression,High,1,Onsite,Oceania,EMP4440,5,Neutral,1,45,Decrease
Designer,Manufacturing,52,Anxiety,Low,34,Onsite,Asia,EMP4441,15,Neutral,2,37,No Change
Software Engineer,IT,26,Burnout,Low,2,Hybrid,South America,EMP4442,9,Unsatisfied,3,56,Decrease
Project Manager,Education,34,Anxiety,Low,26,Onsite,North America,EMP4443,15,Satisfied,1,26,No Change
Data Scientist,Healthcare,26,Depression,Low,18,Remote,Oceania,EMP4444,4,Unsatisfied,2,53,Decrease
Project Manager,Consulting,50,Anxiety,Medium,5,Remote,South America,EMP4445,0,Unsatisfied,4,23,Increase
HR,Retail,51,Anxiety,Medium,20,Onsite,North America,EMP4446,10,Neutral,1,47,No Change
Data Scientist,Manufacturing,55,None,High,19,Remote,Oceania,EMP4447,6,Unsatisfied,4,20,No Change
Marketing,Healthcare,31,Burnout,Medium,31,Remote,Europe,EMP4448,9,Neutral,4,38,No Change
Data Scientist,Healthcare,48,Anxiety,Low,24,Remote,South America,EMP4449,1,Neutral,2,29,No Change
Marketing,Consulting,43,Anxiety,Low,3,Remote,North America,EMP4450,1,Neutral,1,39,Increase
Marketing,Consulting,32,Burnout,Medium,1,Onsite,Africa,EMP4451,7,Satisfied,4,49,Increase
Sales,Healthcare,38,Depression,Low,24,Remote,Oceania,EMP4452,1,Unsatisfied,1,20,Increase
Software Engineer,IT,30,Burnout,Medium,13,Remote,North America,EMP4453,14,Unsatisfied,4,60,No Change
HR,Finance,28,Depression,Low,29,Onsite,Asia,EMP4454,8,Unsatisfied,2,37,Increase
Designer,Manufacturing,30,Depression,High,28,Remote,Asia,EMP4455,6,Neutral,5,47,Increase
Project Manager,Retail,54,Depression,Low,7,Remote,Africa,EMP4456,10,Unsatisfied,3,38,Decrease
Software Engineer,IT,43,Burnout,High,27,Onsite,Europe,EMP4457,0,Unsatisfied,3,54,Decrease
Sales,Consulting,40,None,High,34,Onsite,Africa,EMP4458,9,Satisfied,5,37,Increase
Data Scientist,Healthcare,53,Depression,Low,6,Remote,Asia,EMP4459,4,Unsatisfied,1,37,No Change
Sales,Healthcare,31,None,High,12,Hybrid,South America,EMP4460,9,Neutral,2,29,No Change
Sales,IT,35,Burnout,High,9,Onsite,Africa,EMP4461,8,Satisfied,1,29,Increase
Software Engineer,Finance,25,None,High,22,Hybrid,Europe,EMP4462,10,Unsatisfied,4,58,Decrease
Marketing,Finance,42,Burnout,Low,18,Remote,South America,EMP4463,2,Unsatisfied,3,20,Decrease
Data Scientist,Consulting,52,Depression,Low,22,Onsite,South America,EMP4464,2,Unsatisfied,1,56,Increase
Software Engineer,Healthcare,58,Anxiety,High,3,Hybrid,Europe,EMP4465,7,Satisfied,4,59,Increase
Project Manager,IT,51,Anxiety,High,3,Onsite,Asia,EMP4466,4,Unsatisfied,1,55,Increase
HR,Consulting,55,Burnout,Medium,33,Hybrid,North America,EMP4467,5,Satisfied,4,43,Decrease
Marketing,Healthcare,30,Depression,High,16,Onsite,South America,EMP4468,12,Satisfied,2,30,Increase
Project Manager,IT,28,Burnout,Medium,18,Onsite,South America,EMP4469,10,Unsatisfied,3,32,No Change
Designer,Retail,60,None,Medium,13,Onsite,North America,EMP4470,8,Neutral,5,39,No Change
Software Engineer,Consulting,45,Burnout,Medium,13,Onsite,Europe,EMP4471,7,Satisfied,4,37,Increase
Software Engineer,Manufacturing,51,Anxiety,High,23,Onsite,Africa,EMP4472,4,Satisfied,5,28,Increase
Designer,Consulting,53,Anxiety,Low,7,Hybrid,Africa,EMP4473,2,Neutral,1,29,No Change
HR,Manufacturing,24,Anxiety,Medium,4,Onsite,Europe,EMP4474,8,Satisfied,5,25,Increase
Marketing,Retail,52,Burnout,Medium,32,Hybrid,Oceania,EMP4475,12,Unsatisfied,2,34,No Change
Software Engineer,IT,27,Depression,Medium,28,Onsite,South America,EMP4476,12,Satisfied,1,54,Increase
HR,Retail,43,None,Low,2,Hybrid,Europe,EMP4477,14,Neutral,5,54,Increase
Software Engineer,Retail,40,Anxiety,Low,3,Remote,Africa,EMP4478,10,Unsatisfied,4,42,Decrease
Marketing,Finance,36,Burnout,Medium,30,Remote,Asia,EMP4479,14,Unsatisfied,5,54,Decrease
Data Scientist,Retail,22,Burnout,High,30,Hybrid,South America,EMP4480,3,Neutral,4,60,No Change
Designer,Finance,33,Burnout,Medium,20,Onsite,South America,EMP4481,6,Satisfied,3,44,No Change
Project Manager,Education,60,Burnout,Low,23,Onsite,Oceania,EMP4482,4,Neutral,3,31,Increase
Designer,Healthcare,28,Depression,Medium,6,Remote,Africa,EMP4483,7,Satisfied,4,27,No Change
Sales,Finance,33,None,Medium,13,Onsite,Oceania,EMP4484,3,Satisfied,1,21,Decrease
Data Scientist,Healthcare,53,Anxiety,Low,1,Hybrid,Oceania,EMP4485,6,Unsatisfied,5,39,No Change
Project Manager,Education,56,None,Medium,35,Onsite,Europe,EMP4486,13,Unsatisfied,2,25,Decrease
HR,Education,34,None,Low,9,Hybrid,Asia,EMP4487,8,Neutral,2,51,Increase
Designer,Retail,37,Anxiety,Low,10,Remote,Oceania,EMP4488,12,Unsatisfied,1,48,Decrease
Sales,Education,22,Anxiety,Low,16,Hybrid,North America,EMP4489,9,Unsatisfied,4,26,No Change
Data Scientist,Retail,44,Burnout,Medium,9,Remote,South America,EMP4490,6,Neutral,4,49,Increase
Sales,Consulting,27,None,Medium,5,Remote,Europe,EMP4491,2,Satisfied,4,22,Decrease
HR,Consulting,49,Depression,High,14,Hybrid,Europe,EMP4492,3,Satisfied,1,36,Decrease
Software Engineer,Finance,55,Anxiety,Medium,9,Onsite,Africa,EMP4493,9,Satisfied,2,42,Decrease
Designer,Manufacturing,53,Burnout,Low,5,Remote,South America,EMP4494,2,Satisfied,3,38,Increase
Marketing,Education,38,Depression,Medium,35,Hybrid,North America,EMP4495,3,Satisfied,4,54,No Change
Sales,IT,39,Depression,Low,34,Remote,Asia,EMP4496,14,Unsatisfied,5,31,No Change
Marketing,IT,56,None,High,16,Hybrid,Europe,EMP4497,12,Satisfied,4,44,Increase
Marketing,IT,48,Depression,Low,13,Hybrid,Africa,EMP4498,6,Neutral,1,43,No Change
Designer,Finance,24,Depression,High,19,Remote,North America,EMP4499,4,Neutral,2,47,Decrease
Designer,Manufacturing,28,None,High,2,Onsite,Oceania,EMP4500,2,Unsatisfied,1,28,No Change
Software Engineer,Retail,58,Burnout,Low,18,Hybrid,Asia,EMP4501,13,Satisfied,5,33,No Change
Software Engineer,Finance,35,Depression,Medium,31,Onsite,Africa,EMP4502,0,Neutral,2,58,Increase
Designer,Healthcare,60,Anxiety,Low,5,Hybrid,Asia,EMP4503,0,Unsatisfied,2,57,Decrease
HR,Finance,54,Burnout,Medium,18,Remote,Europe,EMP4504,14,Unsatisfied,1,45,No Change
Marketing,Manufacturing,30,None,Medium,30,Remote,Africa,EMP4505,12,Unsatisfied,1,32,No Change
Software Engineer,Finance,46,None,Medium,19,Hybrid,Africa,EMP4506,12,Neutral,4,22,Decrease
Designer,Manufacturing,49,Depression,Low,15,Remote,Oceania,EMP4507,9,Neutral,1,50,No Change
HR,Finance,47,Burnout,Medium,10,Remote,Oceania,EMP4508,15,Satisfied,2,21,No Change
Sales,Healthcare,26,Anxiety,High,6,Remote,South America,EMP4509,8,Unsatisfied,3,60,Decrease
Data Scientist,Retail,47,Depression,High,20,Hybrid,South America,EMP4510,5,Neutral,3,34,Decrease
Marketing,Healthcare,52,Anxiety,Low,35,Hybrid,Asia,EMP4511,5,Satisfied,4,27,Increase
HR,IT,27,Depression,High,23,Onsite,South America,EMP4512,10,Neutral,4,25,Decrease
Project Manager,IT,59,Anxiety,High,8,Hybrid,Europe,EMP4513,13,Unsatisfied,4,22,Decrease
Data Scientist,Retail,45,Burnout,Medium,12,Remote,Asia,EMP4514,14,Unsatisfied,3,42,No Change
Data Scientist,Manufacturing,29,Anxiety,Medium,9,Hybrid,Europe,EMP4515,9,Neutral,1,24,Decrease
Project Manager,Education,60,Burnout,Low,15,Onsite,South America,EMP4516,4,Satisfied,5,47,No Change
Project Manager,Finance,57,None,Medium,23,Onsite,Oceania,EMP4517,6,Neutral,5,20,No Change
Sales,Finance,28,Anxiety,High,15,Hybrid,South America,EMP4518,5,Neutral,3,52,Increase
Sales,Manufacturing,23,Burnout,Medium,17,Onsite,Africa,EMP4519,9,Neutral,1,49,Decrease
Sales,Healthcare,54,Depression,Low,1,Hybrid,South America,EMP4520,14,Satisfied,5,56,Decrease
HR,Healthcare,25,Depression,Low,31,Hybrid,Europe,EMP4521,5,Neutral,2,30,No Change
Designer,Healthcare,39,Depression,Medium,28,Hybrid,North America,EMP4522,3,Satisfied,4,51,No Change
Software Engineer,Consulting,55,Burnout,Low,25,Remote,South America,EMP4523,12,Neutral,4,59,No Change
Project Manager,Manufacturing,26,Depression,Medium,21,Remote,Asia,EMP4524,5,Neutral,2,42,Increase
Marketing,Finance,45,Anxiety,High,16,Onsite,Africa,EMP4525,13,Neutral,1,24,Increase
Designer,Retail,56,Anxiety,Medium,8,Hybrid,Asia,EMP4526,3,Unsatisfied,1,52,No Change
Data Scientist,Consulting,52,None,High,20,Onsite,North America,EMP4527,1,Satisfied,5,27,No Change
Sales,Manufacturing,23,None,Medium,24,Remote,Europe,EMP4528,8,Neutral,2,46,No Change
Marketing,IT,43,Depression,High,12,Hybrid,North America,EMP4529,14,Satisfied,5,25,Decrease
Designer,Manufacturing,49,Depression,Low,28,Remote,Africa,EMP4530,15,Unsatisfied,1,38,No Change
Designer,IT,34,Burnout,High,13,Hybrid,Oceania,EMP4531,15,Neutral,4,50,Decrease
Project Manager,Healthcare,49,None,Low,5,Onsite,South America,EMP4532,5,Satisfied,2,40,Decrease
Software Engineer,IT,51,Depression,Low,17,Remote,Asia,EMP4533,14,Unsatisfied,1,45,Decrease
Sales,Healthcare,50,None,Low,7,Hybrid,Asia,EMP4534,7,Satisfied,4,48,Increase
HR,Consulting,54,Anxiety,Low,10,Hybrid,South America,EMP4535,2,Neutral,3,43,Decrease
Software Engineer,Education,24,None,Low,31,Hybrid,North America,EMP4536,1,Neutral,2,57,No Change
Software Engineer,Healthcare,38,Depression,Low,1,Onsite,Asia,EMP4537,12,Unsatisfied,1,20,Decrease
Marketing,IT,41,Anxiety,Low,31,Remote,South America,EMP4538,1,Neutral,1,20,No Change
Marketing,Healthcare,34,Anxiety,High,35,Hybrid,South America,EMP4539,4,Neutral,2,40,Decrease
Data Scientist,IT,36,Depression,High,32,Remote,Africa,EMP4540,15,Unsatisfied,2,45,Increase
Software Engineer,Retail,51,Burnout,Low,32,Onsite,North America,EMP4541,15,Unsatisfied,3,54,Increase
HR,Healthcare,35,Depression,Low,5,Onsite,Africa,EMP4542,13,Neutral,4,39,No Change
Marketing,Education,52,None,Medium,18,Onsite,Oceania,EMP4543,9,Unsatisfied,2,51,Increase
Software Engineer,Education,56,Anxiety,Medium,5,Hybrid,Asia,EMP4544,3,Neutral,5,35,Increase
Data Scientist,IT,30,Burnout,Low,27,Onsite,Oceania,EMP4545,5,Satisfied,5,48,No Change
Project Manager,IT,59,None,High,12,Remote,Oceania,EMP4546,9,Unsatisfied,2,49,No Change
Designer,Retail,60,None,High,35,Onsite,Oceania,EMP4547,15,Neutral,4,47,Decrease
HR,Healthcare,45,Depression,Medium,29,Hybrid,Europe,EMP4548,9,Satisfied,4,36,Increase
Designer,Healthcare,37,Anxiety,Low,17,Hybrid,Oceania,EMP4549,10,Unsatisfied,3,58,Decrease
Data Scientist,Education,40,Burnout,Medium,18,Onsite,Oceania,EMP4550,3,Neutral,4,42,Increase
Data Scientist,Healthcare,30,Burnout,Medium,21,Onsite,Oceania,EMP4551,1,Neutral,1,48,Decrease
Data Scientist,Healthcare,57,Burnout,Low,27,Onsite,North America,EMP4552,2,Unsatisfied,3,56,No Change
Data Scientist,Consulting,48,Anxiety,Low,3,Remote,South America,EMP4553,11,Unsatisfied,3,58,Increase
Marketing,Healthcare,51,Depression,Medium,14,Onsite,South America,EMP4554,11,Satisfied,2,49,Decrease
Designer,Consulting,46,Anxiety,Low,10,Hybrid,Europe,EMP4555,4,Neutral,5,25,Increase
Designer,Finance,56,None,High,27,Remote,Europe,EMP4556,15,Unsatisfied,3,48,Decrease
Software Engineer,Consulting,25,None,Medium,30,Hybrid,Oceania,EMP4557,14,Neutral,1,20,Decrease
Project Manager,Retail,22,None,High,26,Onsite,Oceania,EMP4558,15,Satisfied,4,39,Increase
Software Engineer,Finance,42,Anxiety,Low,18,Hybrid,North America,EMP4559,4,Satisfied,5,43,Increase
Data Scientist,Finance,40,Burnout,High,7,Hybrid,Asia,EMP4560,10,Unsatisfied,3,60,Increase
Software Engineer,Retail,51,None,High,26,Onsite,North America,EMP4561,2,Neutral,2,43,No Change
Marketing,Manufacturing,34,Depression,Medium,3,Remote,Europe,EMP4562,10,Satisfied,3,51,Increase
Software Engineer,Healthcare,34,Depression,Low,30,Hybrid,Africa,EMP4563,5,Satisfied,5,59,Decrease
Data Scientist,IT,28,Depression,High,28,Hybrid,Europe,EMP4564,10,Neutral,5,56,Decrease
HR,Finance,46,Anxiety,High,27,Remote,Africa,EMP4565,0,Neutral,2,39,Decrease
Marketing,Education,37,None,Medium,27,Remote,Europe,EMP4566,1,Satisfied,1,23,Increase
Designer,Consulting,48,Depression,Low,25,Hybrid,Asia,EMP4567,7,Satisfied,5,50,Decrease
Marketing,Manufacturing,32,None,Medium,17,Remote,Oceania,EMP4568,1,Unsatisfied,1,33,Increase
Marketing,IT,28,Burnout,Low,32,Hybrid,Africa,EMP4569,8,Unsatisfied,4,50,Increase
Software Engineer,Retail,41,Anxiety,Low,22,Onsite,Europe,EMP4570,3,Unsatisfied,5,33,Increase
Sales,Manufacturing,57,Anxiety,Medium,27,Hybrid,Africa,EMP4571,0,Neutral,2,45,Decrease
Software Engineer,IT,42,Depression,Low,32,Hybrid,Europe,EMP4572,2,Satisfied,2,53,No Change
Project Manager,Consulting,56,Anxiety,Low,35,Onsite,Europe,EMP4573,2,Unsatisfied,1,51,Increase
Data Scientist,IT,57,Burnout,Low,14,Onsite,Oceania,EMP4574,8,Satisfied,5,24,Increase
Software Engineer,Retail,32,None,Medium,9,Onsite,South America,EMP4575,15,Unsatisfied,3,34,Decrease
Designer,Healthcare,57,Anxiety,High,23,Onsite,Oceania,EMP4576,9,Satisfied,3,25,No Change
HR,Finance,25,Anxiety,Low,13,Remote,North America,EMP4577,11,Satisfied,1,45,Increase
Data Scientist,Consulting,35,Anxiety,Low,34,Remote,South America,EMP4578,7,Neutral,5,48,Decrease
Sales,Manufacturing,44,Burnout,Medium,22,Hybrid,Europe,EMP4579,2,Satisfied,2,49,Decrease
Data Scientist,Education,35,None,Low,6,Remote,Oceania,EMP4580,5,Unsatisfied,2,27,Increase
Software Engineer,Consulting,43,Depression,Medium,9,Onsite,North America,EMP4581,15,Unsatisfied,2,58,Decrease
Project Manager,Manufacturing,58,Depression,Medium,25,Remote,North America,EMP4582,9,Satisfied,1,55,No Change
Designer,Finance,29,Anxiety,Medium,34,Onsite,Asia,EMP4583,15,Satisfied,1,28,Increase
Designer,Retail,36,None,High,22,Remote,Africa,EMP4584,7,Neutral,4,51,Decrease
Sales,Manufacturing,48,Depression,Low,13,Onsite,South America,EMP4585,12,Unsatisfied,5,41,No Change
Data Scientist,IT,48,Depression,Low,3,Hybrid,Europe,EMP4586,5,Satisfied,1,20,Decrease
Marketing,Healthcare,29,Anxiety,Medium,26,Onsite,Oceania,EMP4587,8,Neutral,3,21,Decrease
Data Scientist,IT,38,None,Low,12,Hybrid,South America,EMP4588,9,Neutral,3,23,No Change
Software Engineer,Consulting,38,Anxiety,Medium,28,Remote,Oceania,EMP4589,12,Unsatisfied,4,24,Increase
Sales,IT,26,Burnout,Low,2,Onsite,South America,EMP4590,14,Satisfied,4,36,Decrease
HR,Manufacturing,35,Burnout,High,24,Hybrid,Oceania,EMP4591,9,Unsatisfied,4,35,Decrease
Sales,Retail,53,None,High,20,Onsite,Europe,EMP4592,0,Satisfied,5,23,Decrease
Data Scientist,Healthcare,25,Anxiety,Low,31,Onsite,Asia,EMP4593,14,Neutral,1,39,Decrease
Project Manager,Education,22,None,Medium,21,Hybrid,Asia,EMP4594,13,Unsatisfied,3,42,Decrease
Software Engineer,Finance,34,Burnout,Medium,15,Onsite,Oceania,EMP4595,13,Satisfied,3,29,No Change
HR,Education,31,Anxiety,High,32,Remote,South America,EMP4596,8,Unsatisfied,3,20,Decrease
Designer,Education,26,Burnout,High,10,Onsite,North America,EMP4597,13,Satisfied,1,24,Increase
Designer,Healthcare,54,Anxiety,Medium,32,Hybrid,Europe,EMP4598,7,Neutral,5,27,Increase
Sales,Healthcare,34,Anxiety,Low,6,Hybrid,Asia,EMP4599,11,Unsatisfied,1,55,Increase
Data Scientist,Retail,47,None,Low,26,Onsite,South America,EMP4600,10,Satisfied,2,48,Decrease
Designer,IT,39,Burnout,High,16,Hybrid,North America,EMP4601,12,Satisfied,5,20,Decrease
Project Manager,Healthcare,26,Anxiety,Low,35,Hybrid,North America,EMP4602,7,Unsatisfied,1,41,Decrease
Project Manager,Finance,30,Depression,High,22,Remote,Africa,EMP4603,15,Satisfied,5,41,Increase
Sales,IT,49,Anxiety,High,7,Remote,South America,EMP4604,5,Neutral,2,36,No Change
